ulasan,label
"Starting in December, the app started crashing when used in the background. I've triple-checked settings. It's 100% the app's issue. This is a big problem, because listening in the background is the whole point? To listen to music? I'm not going to be staring at the app the whole time. It's so frustrating. I'm now using YouTube Music more. Scrolling functionality is weird now. They also changed the heart/like icon to a plus sign? It's not intuitive and is weird. I updated the app. Same issues.",2
"I've loved this app for many years. Lately, however, songs in my playlists will switch places; specifically, a song from the middle, and the first song. The bulk of my playlists are in a specific order (an artist's complete chronological discography, usually), so this presents a significant issue. Furthermore, many of the playlists integrate songs from my phone, so remaking the playlist would be a major hassle. I hope that this issue will be rectified soon.",3
"Spotify is my favorite music streaming app by a landslide, and I'm on the iPhone app pretty much 24/7, but the Chrome version still needs some work. It's clunky, and it pretty reliably crashes or freezes. In fact, I just downloaded the updated version hoping it would have improved upon this problem, and the app opened - to a nicer interface - and then crashed inside of ~30 seconds. Hoping to see improvements in the future, but in the meantime, I'll be mostly hanging out on my iPhone app.",3
"It's really annoying when the music doesn't have lyrics and like 70% of the time the lyrics aren't there. For the free users, there too many ads and you can't even play it in shuffle order. The only thing I like about this app is that there's a lot of good playlists already there and there are great podcasts and it has pretty good song recommendation.",2
"Great library, generally easy to use. Negatives: Search feature sometimes just doesn't work. I'm connected to wifi, but it will hang for 5 minutes plus without giving any results. Just the loading circle. UX with using it in airplane mode is also really poor, even in offline mode sometimes it just won't play downloaded songs. Still better than YouTube music.",2
"I like the app overall and the choice of music is excellent. I also like the fact it has a free tier and am happy to accept it is supported by advertising. What I don't like is that the adverts are turned up SO LOUD it feels as if they're trying to torture me into buying a product I probably have no interest in. I'm not deaf (yet), play the advert the same volume as I have my music set, if I can hear that, I can hear your advert. I'll listen again when you fix this.",2
"Please bring back the Enhance feature! Using Enhance, I could build massive playlists starting with only a few songs. It was amazing for music discovery, one of the main reasons I use Spotify. There was absolutely no reason to remove that entirely unobtrusive feature, and nothing else Spotify offers is comparable. I could easily see which songs were suggested and quickly add the ones I liked. Giving a kid candy and then taking it away is just mean. I've had premium for years. How disappointing.",1
"I used to love this app but the smart shuffle completely ruins my listening experience and I can't turn it off. It means that when I want to listen to a specific playlist or album, the app will start playing whatever it thinks I want to hear - except what I try to listen to. If I click on an album, I obviously want to listen to THAT album. If they were to play similar music after that playlist is over, that's fine. But it starts immediately. Not tempted to go back to premium.",1
"After many years of happily using the Spotify mobile app on several Android phones, within the past few months, it's become non-functional. The home screen MIGHT load, and if I can get a second screen to load (which is rarely if ever), it can't play a song. Even if my phone and desktop are on the same wi-fi, the mobile app does not recognize the second device and I can't switch between them. No matter how many times I uninstall and reinstall the app, this has only gotten worse. Please fix ASAP.",1
"Literally the only thing I want to do is shuffle songs, and it won't. IT plays the most recently added songs in the order I added them, no matter what I do. I've restarted the app, restarted my phone, deleted and re downloaded the app, I'm sitting here clearing out the queue song by song and they just pop right back up again. Shuffling songs is the most basic feature of a music app, absolutely ridiculous. I have had nothing but problems since I started using Spoify. I'm going back to YT music.",1
