content,score
"Saya sangat senang menggunakan Spotify, lagunya bervariasi mulai yang lawas bgt sampai yang terbaru juga ada, namun amat disayangkan akhir akhir ini Spotify sepertinya mengurangi fitur lirik pada lagu, ini teramat disayangkan. Padahal dengan lirik tersebut pendengar bisa karaoke dan enjoy menikmati lagu apalagi kalau lagu asing dan membutuhkan terjemahan. Saya harap Spotify memperbaiki fitur lirik pada laguu. Selebihnya saya fine fine saja hanya pada lirik lagu.",2
"Aplikasi nya bagus, gratis bisa sepuasnya tetapi ada masalah, seperti iklan yang sangat banyak pas saya ganti lagu iklan bisa 3-4 kali muncul,ya memang kalo mau gak ada iklan harus premium,tapi kalo iklan nya udah sampai 4 kali kayak gitu ya kebanyakan sih,mana iklannya 30 detik, berarti 4 iklan udah 2 menit, yang di putar cuma satu lagu, iklan nya setengah dari lagu malah,ya jadi begitu aja perdapat saya tentang iklan, kalau sudah dikurangi iklan nya saya kasih bintang 5 deh,",3
"udah bagus aku suka,tapi ada kesalahan,dulu bisa dengerin lagu ga pake kuota,asalkan hidupin data,dan sekarang gabisa lagi padahal aku suka dengerin lagu,tolong di perbaiki,dan ada satu lagi,di Spotify ini iklannya itu loh banyak bgt,pernah aku malem'dengerin lagu di Spotify eh ada iklan podcast horor 😭kan aku takut",1
"Maaf kenapa Spotify jadi memaksakan untuk premium ya, soalnya 1 lagu saja iklan nya (4-5) itupun tidak hanya sekali, terus kenapa pemutaran playlist nya kadang tidak sesuai, maaf tolong banget iklan nya dikurangi dan pemutaran lagunya disesuaikan, soalnya itu agak mengganggu kami para pendengar Spotify, terimakasih🙏",3
"Padahal dulu iklannya tidak separah sekarang yang bahkan bisa 4 iklan SEKALIGUS tanpa jeda lagu. Saya maklumi karena saya bukan pengguna premium, tetapi iklannya keterlaluan banyaknya. Seolah maksa premium",1
"Maaf,tapi tolong menambahkan Spotify mode ofline,karena saat saya kehabisan kuota saya ingin memakai Spotify untuk mendengarkan lagu, tetapi Spotify tidak mendukung dan malah ada layar hitam,dan ada kata ""Lagu yang anda sukai akam muncul disini"",tapi aku udah nungguin tapi tetep ajah layar item",4
Menurut saya aplikasinya sudah bagus namun bagi saya spotify sendiri sepertinya harus menambahkan beberapa fitur seperti: Translet lirik lagu Ketika saya mendengarkan lagu ada beberapa lagu yang memiliki lirik ketika diterjemahkan itu ke bahasa Inggris tapi karena saya tidak bisa bahasa Inggris jadi menurut saya spotify juga harus bisa membuatnya menjadi lebih ke bahasa Indonesia dengan cara yaitu menterjemahkan otomatis.,5
"Aplikasi yang bagus, tapi kenapa setiap masuk ke opsi paket premium pasti tertulis ""Tidak dapat menghubung, Periksa pengaturanmu atau coba lagi"" Dan di semua gadget yang sudah saya coba Kemudian saya tidak bisa mengundang akun lain padahal suda terdaftar premium duo Tolong pencerahannya",3
"+ Sportify App TERBAIK gak ribet, ngerti apa yg kita mau, lengkap lagunya, sesuai yg kita inginkan, Pokoknya The Best - Iklannya keseringan dan kadang berurutan. Tidak bisa melakukan pembelian premium, atau tidak bisa menghubungi ⭐ ⭐⭐",3
"Kolom ""Baru saja diputar"" isinya album yang udah lama ga di denger, bukannya masukin musik yang baru di denger, musik yang baru aja di denger ga pernah masuk histori manapun begitu kita mau puter lagi harus nyari di kolom search.",1
"Menurut saya aplikasinya bagus karena memiliki banyak pilihan lagu bagus yang enak di dengar, dan iklannya juga tidak terlalu mengganggu namun saat ingin memperpanjang premium ada sebuah kendala saat loading selalu muncul ""coba lagi"" padahal jaringan saya bagus dan lancar mohon kepada developer nya untuk segera di perbaiki",4
"Aplikasi ini cocok bngt untuk kita mendengar kan lagu lagu yg lagi trend bisa juga cari lagu yg kita mau dan msih bnyak lainnya tapi iklan nya gaush banyk"" iklan premium nya kadang sampai 2-3 kali lewat terus pas di pertengahan lagu",3
"Please jangan terlalu posesif lahh, maksa banget buat premium, saya pernah coba aktifin premium sebulan aja kerasa banget bedanya sama yg versi biasa. Plis lah kalau bisa kurangin iklannya masa setiap lagu ada iklan dan saat memutar suatu playlist lagu yang diputar itu kadang-kadang lagu yg diluar playlist tersebut.",1
